Gender,College,Income,Carrier,Mate,Aircon,Refrig,Parking,Freshmarket,Restaurant,Laundry,Clean_service,Rental_fee,Cost_utilities,Size,Distance,Security,Can_pet,Can_cook,Name,Rental_fee_REAL,Zone
Female,Engineering,Medium,Motorcycle,0,High,Little,Medium,Little,Medium,High,High,High,High,High,High,High,Not,Medium,A&J Mansion,Medium,RNP
Male,Science,Medium,Motorcycle,1,High,High,High,Medium,Medium,Not,Not,High,High,High,High,Medium,Not,Not,U-Place,Medium,RNP
Female,Nano,Medium,No,1,High,Medium,Not,Medium,High,Medium,Medium,High,High,High,High,High,Not,Medium,???????????,Medium,Kekingam
Female,Industry_ed,Medium,No,0,Medium,Medium,Little,Medium,High,High,Little,High,High,Medium,High,High,Medium,High,??????????????,Medium,Jinda
Female,IT,Medium,No,1,Medium,Little,Little,Little,Medium,Little,Little,Medium,Medium,High,High,Medium,Not,Not,???????? Kekingam2,Medium,Kekingam
Female,Industry_ed,Medium,Car,1,High,High,High,Little,High,Little,Little,High,High,High,Medium,High,Little,High,??????????3 ,Medium,Kekingam
Female,Industry_ed,High,No,2,High,High,Medium,Medium,High,High,Not,High,High,High,High,High,High,High,The living 52,Medium,Jinda
Female,Science,High,No,2,High,High,Not,Not,Medium,High,Not,High,High,High,High,High,High,High,Enjoy place,Medium,RNP
Female,Engineering,High,Motorcycle,2,High,High,High,High,High,High,Little,High,High,High,High,High,Medium,High,Papa mama apartment,Medium,RNP
Female,Businees,High,No,0,High,Not,Not,Medium,Medium,Medium,Little,High,Medium,Medium,High,High,Not,High,????????,Medium,FBT
Female,Engineering,High,No,1,Medium,Medium,Not,Not,High,High,Little,High,High,Medium,Medium,Medium,Not,Little,????????,Medium,Kekingam
Male,Agri_tec,High,No,0,High,Medium,High,High,High,High,Not,High,High,Little,High,High,Not,Medium,??????,Medium,FBT
LGBT,Engineering,Low,Motorcycle,0,Medium,High,Little,Not,Little,High,Little,High,High,High,High,High,High,High,K house,Medium,RNP
Female,Businees,Medium,No,1,High,High,Medium,Medium,High,Medium,Medium,High,High,High,High,High,Medium,High,K house,Medium,RNP
Male,Engineering,Very_High,Motorcycle,2,High,Medium,Medium,High,High,High,Little,High,High,High,High,High,High,High,???,Medium,Kekingam
Female,Science,Low,No,2,Medium,Medium,Medium,Medium,High,High,High,High,High,High,High,High,Medium,Medium,????????????????,Medium,Kekingam
Female,Engineering,Medium,Motorcycle,1,High,Medium,High,Medium,High,High,Medium,High,High,Medium,Medium,High,Not,High,The P.P.one,Medium,RNP
Female,Engineering,High,No,0,High,High,Little,Medium,Medium,Medium,Little,Medium,Medium,High,High,High,Little,Little,??????????????,Medium,Kekingam
Female,Engineering,Low,Motorcycle,2,High,Little,Little,Not,Medium,Not,Little,High,High,High,High,High,High,High,Enjoy place,Medium,RNP
Male,Engineering,Low,Bicycle,0,High,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Little,Little,Rnp place,Medium,RNP
Female,Businees,Low,Motorcycle,1,High,Medium,High,Medium,High,Medium,High,High,High,High,Medium,High,Little,High,????????,Medium,RNP
Female,Engineering,Medium,Motorcycle,1,High,High,High,Not,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,????????,Medium,RNP
Male,Engineering,Medium,Motorcycle,1,Medium,Medium,Little,Little,Little,Little,Little,High,High,High,Medium,Little,Little,Little,Enjoy place,Medium,RNP
Male,Science,Medium,No,0,High,Little,Little,Medium,High,High,High,High,High,High,High,High,Little,Little,ROOM51,Medium,Jinda
Female,Engineering,High,Motorcycle,0,High,High,Medium,Not,Little,Little,Little,High,Medium,High,Medium,High,Not,Little,U-Place,Medium,RNP
LGBT,Science,Medium,No,1,High,Medium,Not,Medium,Medium,Medium,Not,Medium,Medium,High,Medium,High,Not,Little,ROOM52,Medium,Jinda
Male,Engineering,Low,Motorcycle,2,High,High,High,Little,Medium,Little,Not,High,Little,Medium,Medium,High,Medium,Little,Papa mama apartment,Medium,RNP
Female,Agri_tec,Low,No,0,Medium,Medium,Not,Medium,Medium,Medium,Little,High,High,High,High,High,Medium,High,?????????????,Medium,Kekingam
Female,Science,Low,No,0,High,High,Not,Little,Medium,High,Little,High,Medium,Medium,Medium,High,Not,Not,????????????????,Medium,RNP
